ticker,date,open,high,low,close,volume,daily_return,volatility_14d,simple_return,cumulative_return
aapl,2024-07-29,215.95008057489312,218.2791844745757,214.745706315722,217.22412109375,36311800,,,,
aapl,2024-07-30,218.16970866418467,219.30440154226625,215.11399172426283,217.78152465820312,41643800,0.0025627431504204276,,0.0025660297836471724,0.0025660297836471724
aapl,2024-07-31,220.40921389598267,222.77814001369308,219.6029868223781,221.04623413085932,50036300,0.014879504046120574,,0.014990754967759479,0.01759525147513319
aapl,2024-08-01,223.3255700813178,223.4350586473056,216.0097928775357,217.3435516357422,62501000,-0.016892594967469712,,-0.01675071511476256,0.000549803315538
aapl,2024-08-02,218.1298614428512,224.54984915998065,216.6965773298152,218.8365631103516,105568600,0.006845875156097345,,0.00686936172420527,0.007422941837594843
aapl,2024-08-05,198.16323265092012,212.5061577637865,195.08762024216463,208.2958526611328,119548600,-0.049365726381781036,,-0.04816704438875452,-0.04110164372014624
aapl,2024-08-06,204.34434168651265,209.0125123984033,200.13403637997632,206.26535034179688,69660500,-0.009795989311541202,,-0.009748164898123357,-0.05044914301770165
aapl,2024-08-07,205.9369016050796,212.6455332580988,205.4292810556757,208.84332275390625,63516400,0.012420870595193662,,0.012498329980471734,-0.038581343073897156
aapl,2024-08-08,212.1179963940502,213.2029189157903,207.85792055043288,212.3170623779297,47161100,0.01649641572442939,,0.01663323288586427,-0.02258984265243047
aapl,2024-08-09,211.1127008665185,215.77090862412464,210.9833011439981,215.23342895507807,42201600,0.013642420569795602,,0.013735903014507445,-0.009164231525709776
aapl,2024-08-12,215.3131584836817,218.7410960979999,214.8448035806853,216.76803588867188,38028100,0.007104667523524206,,0.007129965549701467,-0.002099606631076112
aapl,2024-08-13,218.2428558389481,221.11277276612057,218.2428558389481,220.4949493408203,44155300,0.017046966382873504,,0.01719309508373512,0.01505738971621251
aapl,2024-08-14,219.7973936824548,222.24876826808693,218.93043078284688,220.943359375,41960600,0.002031587107665246,,0.002033652178973888,0.017121663388592445
aapl,2024-08-15,223.813271274212,224.56064415441705,221.97970491871703,223.932846069336,46414000,0.013439836325990518,,0.013530556893823764,0.0308838859230125
aapl,2024-08-16,223.1356500786779,226.0354605653956,222.86659157853387,225.25819396972656,44340200,0.0059010604764896234,0.28438441672539805,0.0059185060327424655,0.03698517842090476
