ticker,forecast_date,forecast_volatility,forecast_variance,forecast_horizon
tsla,2025-09-11,4.723727709978473,22.313603478018464,1
tsla,2025-09-12,4.724022264158373,22.316386352264004,2
tsla,2025-09-15,4.724312653275274,22.31913004589686,3
tsla,2025-09-16,4.72459893647599,22.321835110550058,4
tsla,2025-09-17,4.7248811720601065,22.324502090088085,5
tsla,2025-09-18,4.725159417492596,22.327131520718968,6
tsla,2025-09-19,4.7254337294156725,22.32972393109931,7
tsla,2025-09-22,4.7257041636612085,22.33227984244488,8
tsla,2025-09-23,4.725970775262197,22.334799768632372,9
tsla,2025-09-24,4.726233618464535,22.337284216304376,10
tsla,2025-09-25,4.726492746738215,22.339733684968955,11
tsla,2025-09-26,4.72674821278878,22.342148667101924,12
tsla,2025-09-29,4.727000068568432,22.34452964824596,13
tsla,2025-09-30,4.727248365286936,22.346877107108007,14
